evalue	f1	accuracy	precision	recall	TP	FP	TN	FN	MCC
0.01	0.9984962406015038	0.999998193344643	0.996996996996997	1.0	332	1	553176	0	0.9984964670373091
0.001	1.0	1.0	1.0	1.0	332	0	553177	0	1.0
0.0001	0.9984917043740572	0.999998193344643	1.0	0.9969879518072288	331	0	553177	1	0.9984919376318616
1e-05	0.9984917043740572	0.999998193344643	1.0	0.9969879518072288	331	0	553177	1	0.9984919376318616
1e-06	0.9984917043740572	0.999998193344643	1.0	0.9969879518072288	331	0	553177	1	0.9984919376318616
1e-07	0.995461422087746	0.9999945800339288	1.0	0.9909638554216867	329	0	553177	3	0.9954689755270392
1e-08	0.993939393939394	0.999992773378572	1.0	0.9879518072289156	328	0	553177	4	0.9939540549954657
1e-09	0.993939393939394	0.999992773378572	1.0	0.9879518072289156	328	0	553177	4	0.9939540549954657
1e-10	0.992412746585736	0.999990966723215	1.0	0.9849397590361446	327	0	553177	5	0.9924368274823857
1e-11	0.9908814589665652	0.999989160067858	1.0	0.9819277108433736	326	0	553177	6	0.9909172823908738
1e-12	0.989345509893455	0.999987353412501	1.0	0.9789156626506024	325	0	553177	7	0.9893954090426668
1e-13	0.9862595419847328	0.9999837401017868	1.0	0.9728915662650602	323	0	553177	9	0.9863446344511584
1e-14	0.9831546707503828	0.999980126791073	1.0	0.966867469879518	321	0	553177	11	0.9832844166213968
1e-15	0.9800307219662058	0.999976513480359	1.0	0.960843373493976	319	0	553177	13	0.9802146671081324
1e-16	0.9768875192604006	0.9999729001696448	1.0	0.9548192771084336	317	0	553177	15	0.9771352960774652
1e-17	0.9641185647425896	0.9999584469267888	1.0	0.9307228915662652	309	0	553177	23	0.9647197497550879
1e-18	0.9426751592356688	0.9999349604071478	1.0	0.891566265060241	296	0	553177	36	0.9441971441002163
1e-19	0.8914858096828047	0.9998825674017948	1.0	0.8042168674698795	267	0	553177	65	0.8967287107120684
