evalue	f1	accuracy	precision	recall	TP	FP	TN	FN	MCC
0.01	0.9940298507462688	0.999992773391628	0.9881305637982196	1.0	333	4	553173	0	0.9940439721999201
0.001	0.9985007496251874	0.999998193347907	0.997005988023952	1.0	333	1	553176	0	0.9985009693018279
0.0001	0.9984962406015038	0.999998193347907	1.0	0.996996996996997	332	0	553177	1	0.9984964670389406
1e-05	0.9984962406015038	0.999998193347907	1.0	0.996996996996997	332	0	553177	1	0.9984964670389406
1e-06	0.9984962406015038	0.999998193347907	1.0	0.996996996996997	332	0	553177	1	0.9984964670389406
1e-07	0.995475113122172	0.999994580043721	1.0	0.990990990990991	330	0	553177	3	0.9954826049002543
1e-08	0.9939577039274924	0.999992773391628	1.0	0.987987987987988	329	0	553177	4	0.9939722551154946
1e-09	0.9939577039274924	0.999992773391628	1.0	0.987987987987988	329	0	553177	4	0.9939722551154946
1e-10	0.9939577039274924	0.999992773391628	1.0	0.987987987987988	329	0	553177	4	0.9939722551154946
1e-11	0.9924357034795764	0.9999909667395348	1.0	0.984984984984985	328	0	553177	5	0.9924596123184878
1e-12	0.9909090909090909	0.999989160087442	1.0	0.981981981981982	327	0	553177	6	0.9909446660085927
1e-13	0.9893778452200304	0.999987353435349	1.0	0.978978978978979	326	0	553177	7	0.9894274056048157
1e-14	0.9863013698630138	0.999983740131163	1.0	0.972972972972973	324	0	553177	9	0.9863858997846959
1e-15	0.983206106870229	0.9999801268269768	1.0	0.9669669669669668	322	0	553177	11	0.9833350085700476
1e-16	0.9753846153846154	0.999971093566512	1.0	0.951951951951952	317	0	553177	16	0.9756661409763104
1e-17	0.9674418604651164	0.9999620603060468	1.0	0.9369369369369368	312	0	553177	21	0.9679366558757693
1e-18	0.920583468395462	0.9999114740474428	1.0	0.8528528528528528	284	0	553177	49	0.9234594276327152
1e-19	0.8991735537190083	0.9998897942223266	1.0	0.8168168168168168	272	0	553177	61	0.9037293591705975
